stage,name,added_condition,conditions,epochs,optimizer_updates,learning_rate,jepa_loss,vicreg_loss,group_compactness,group_separation,feature_std,mean_pair_cosine,minimum_centroid_distance,mean_centroid_distance,normal_anchor_cosine,checkpoint
1,add_parkinsons,parkinsons,"['normal', 'parkinsons']",75,225,0.0003,0.6100292205810547,15.203925450642904,0.1776863286892573,0.00013874901924282312,0.46282723546028137,0.5640160441398621,0.30785369873046875,0.30785369873046875,0.9965571761131287,sjepa_stage_01_parkinsons.pt
2,add_stroke,stroke,"['normal', 'parkinsons', 'stroke']",75,225,0.0003,0.7482778032620748,13.567890485127768,0.16790571808815002,0.10250472029050191,0.42945539951324463,0.6373856067657471,0.22713051736354828,0.2854039967060089,0.9887747764587402,sjepa_stage_02_stroke.pt
3,add_myopathic,myopathic,"['normal', 'parkinsons', 'stroke', 'myopathic']",75,900,0.0003,0.6619433462619781,11.978477795918783,0.10361703857779503,0.038694743920738496,0.43534478545188904,0.6545263528823853,0.22450955212116241,0.37712952494621277,0.9281101226806641,sjepa_stage_03_myopathic.pt
4,add_cerebralpalsy,cerebralpalsy,"['normal', 'parkinsons', 'stroke', 'myopathic', 'cerebralpalsy']",75,900,0.0003,0.680086130897204,10.631180763244629,0.08336952949563663,0.022797464858740568,0.4309252202510834,0.6757290363311768,0.19675923883914948,0.5214772820472717,0.8261052966117859,sjepa_stage_04_cerebralpalsy.pt
