epoch,eligible,train_total_loss,train_jepa_cross_entropy,train_teacher_entropy,train_kl_divergence,train_vicreg_loss,train_even_invariance,train_even_variance,train_even_covariance,train_odd_invariance,train_odd_variance,train_odd_covariance,train_even_energy,train_even_feature_variance,train_even_effective_rank,train_even_mean_pairwise_cosine,train_odd_energy,train_odd_feature_variance,train_odd_effective_rank,train_odd_mean_pairwise_cosine,train_learning_rate,train_ema_momentum,train_window_exposures,validation_total_loss,validation_jepa_cross_entropy,validation_teacher_entropy,validation_kl_divergence,validation_vicreg_loss,validation_even_invariance,validation_even_variance,validation_even_covariance,validation_odd_invariance,validation_odd_variance,validation_odd_covariance,validation_even_energy,validation_even_feature_variance,validation_even_effective_rank,validation_even_mean_pairwise_cosine,validation_odd_energy,validation_odd_feature_variance,validation_odd_effective_rank,validation_odd_mean_pairwise_cosine,validation_online_encoder_commutation_max_abs,validation_target_encoder_commutation_max_abs,validation_predictor_commutation_max_abs,validation_masked_prediction_commutation_max_abs
1,True,2.7863739765850846,1.613080587007303,0.4745637050808099,1.138516887878566,23.46586748140048,0.009385243631183595,0.23249971569303726,4.3986443082256566,0.02354213211561286,0.3677513263730013,3.2376814826316296,0.7257594466209412,0.6677772998809814,7.902089595794678,0.09030643105506897,0.22553624212741852,0.22508099675178528,4.490926265716553,0.0024276357144117355,0.00019995065603657398,0.9960009860934764,79552.0,2.9382873455469176,1.3087975127356393,0.40834514993541643,0.9004523673388515,32.58979626678713,0.007493488881953507,0.43276228994693394,5.302774067274647,0.023286352728586392,0.47712645826314015,3.770516535741681,0.7610470056533813,0.6469093561172485,5.835968494415283,0.15505081415176392,0.20154066383838654,0.19935211539268494,5.1364641189575195,0.01497253030538559,0.0,0.0,0.0,0.0
2,True,2.0790344560616263,1.2811793028972653,0.3223165045173918,0.9588628074668246,15.957102810866585,0.009946910657508603,0.09610104426585755,4.312334326228497,0.026629338415200227,0.17101889354800948,4.052360744746769,0.6556829810142517,0.5792505145072937,8.683309555053711,0.12598255276679993,0.26913687586784363,0.26839596033096313,6.734644889831543,0.003378596156835556,0.00019980267284282874,0.996003944988045,79552.0,2.723696071825259,1.1393943208086523,0.269640338388736,0.8697539889266227,31.686034559882234,0.00914436136592039,0.4029850304287399,5.756353395002326,0.025504282858935648,0.4020782223930256,4.936806577862795,0.6779211163520813,0.5888484120368958,6.953399658203125,0.13628533482551575,0.21982814371585846,0.2178550362586975,6.859562397003174,0.011667324230074883,0.0,0.0,0.0,0.0
3,True,1.8352606039035733,1.139891911372962,0.2473604460025831,0.8925314724493295,13.90737361094689,0.008936471093655057,0.08007791017392711,4.0026682199054635,0.020180638966076407,0.12467507249582034,4.057945379161681,0.5830143690109253,0.5156358480453491,10.089269638061523,0.125168114900589,0.26614120602607727,0.26518091559410095,8.113626480102539,0.003934851381927729,0.0001995561964603098,0.9960088737637701,79552.0,2.5660824480082467,1.0687452370747723,0.2244802384444003,0.8442649989918557,29.946743741511014,0.007053503907232915,0.38843234080188677,4.924650280382978,0.014429685999852709,0.3611637742692891,5.744974101113919,0.5943108201026917,0.5207757353782654,8.08331298828125,0.12961693108081818,0.2297116070985794,0.228249654173851,7.7555389404296875,0.007574548479169607,0.0,0.0,0.0,0.0
4,True,1.726599185819695,1.0979948453575206,0.2326978962637682,0.8652969593495394,12.572086569386341,0.008615032155117303,0.07056071004460919,3.739522434777055,0.0154261976961505,0.10088435546678588,3.9454062570992345,0.5171071290969849,0.46379533410072327,11.481122016906738,0.11038744449615479,0.26483452320098877,0.26383841037750244,8.839404106140137,0.004268246237188578,0.00019921147013144945,0.9960157675565062,79552.0,2.4568306018078743,1.028215459093572,0.21995932249367398,0.808256151581389,28.572302229642226,0.006980414635996332,0.3592832004927561,5.202581318861753,0.012595445581026515,0.33679561152291104,5.478443844552573,0.514869213104248,0.45905953645706177,8.945590019226074,0.11469924449920654,0.2317322939634323,0.2304144650697708,8.159586906433105,0.006856746505945921,0.0,0.0,0.0,0.0
5,True,1.658122005667882,1.0692955265338633,0.2203579685341324,0.8489375672125568,11.776529352797295,0.008241051977611958,0.0651347926808094,3.5993671379833576,0.013751974320923272,0.08873027270586377,3.780712899908555,0.4618210196495056,0.4124533534049988,12.462690353393555,0.11214561760425568,0.25710275769233704,0.2562919855117798,9.598546981811523,0.003774107899516821,0.00019876883405951733,0.9960246195628574,79552.0,2.3845045052448692,1.0181862168877593,0.20869374323405346,0.8094924794374451,27.32636528837713,0.006192213087530952,0.32846357237617924,5.438446944467891,0.01201397461209175,0.30170500310604786,5.6786310210930075,0.44634661078453064,0.39705848693847656,10.108784675598145,0.1164066344499588,0.23418495059013367,0.23299594223499298,8.546969413757324,0.005498080980032682,0.0,0.0,0.0,0.0
6,True,1.5687230119567097,1.014642690231219,0.20718260517618106,0.807460093200926,11.081606206640734,0.007998361467003182,0.060495482465478555,3.481233560741667,0.012518297895685749,0.07878250895444175,3.6054978220096445,0.41033315658569336,0.3670465648174286,13.403584480285645,0.1083461195230484,0.25161615014076233,0.25097355246543884,10.680480003356934,0.0028525604866445065,0.00019822872507287227,0.9960354210468917,79552.0,2.3430235289499124,1.0152145527765115,0.19915763728541505,0.816056923644562,26.556178882115614,0.006257714336547207,0.3082870935815364,5.4559643560798845,0.00982660934206028,0.29365593018236186,5.650020622673167,0.40483981370925903,0.35825595259666443,11.163450241088867,0.12126263231039047,0.23435166478157043,0.23334035277366638,8.999105453491211,0.005371117033064365,0.0,0.0,0.0,0.0
7,True,1.481082731595657,0.9544258997120018,0.2026764733517544,0.7517494331994368,10.533136411146684,0.0077275273314065035,0.05745649145959561,3.386369741068477,0.011255167223597791,0.07128197323959486,3.45372388800209,0.36876848340034485,0.33318325877189636,14.28991413116455,0.09871073812246323,0.24420011043548584,0.24358896911144257,11.49350357055664,0.0027215362060815096,0.00019759167619387777,0.9960481613487628,79552.0,2.1438281298326354,0.8672356346868119,0.1951278033603555,0.6721078407250325,25.531849370169834,0.006250621052458882,0.30243199597793125,5.280589182461148,0.008992959425164603,0.2933979702767015,4.974528670945061,0.36573919653892517,0.3274002969264984,11.555697441101074,0.1086358055472374,0.21940551698207855,0.21864904463291168,9.764348030090332,0.004141639452427626,0.0,0.0,0.0,0.0
8,True,1.3609165134011787,0.8554729280314518,0.20013212307100803,0.6553408110923375,10.108871543973276,0.007436085567578871,0.054484421844359664,3.2955389286564514,0.010489501382733005,0.06702308010306937,3.3274994306955623,0.3249461352825165,0.297966331243515,15.409767150878906,0.08542602509260178,0.22742754220962524,0.22688060998916626,12.429905891418457,0.0025560755748301744,0.00019685831611286565,0.9960628278952298,79552.0,2.010915983076687,0.76507195597389,0.19505845203071914,0.5700135042243248,24.916880003525563,0.0060709633219941965,0.3034329067343329,4.862279865185032,0.008928070839549693,0.27690910072018193,5.170985043777474,0.31021150946617126,0.2780931890010834,12.850547790527344,0.10585454851388931,0.20973694324493408,0.20900586247444153,10.56039047241211,0.003483590902760625,0.0,0.0,0.0,0.0
9,True,1.268639699979262,0.781529448560813,0.19887531724962992,0.5826541369995185,9.742204877894824,0.007206427099788974,0.052183137434869645,3.2073125176533326,0.010328366578506398,0.06231290183523827,3.2341162779593984,0.30280426144599915,0.278936505317688,16.125444412231445,0.08104383945465088,0.22051876783370972,0.22004461288452148,13.231945037841797,0.0023274861741811037,0.00019602936856769756,0.9960794062120656,79552.0,1.942804028724403,0.7155732002380402,0.18254570510348864,0.5330274993518613,24.544616072004374,0.006229154361133285,0.2879803187120957,5.234926186571209,0.00926926473439282,0.26411425649637804,5.120000459345885,0.30503877997398376,0.278103232383728,13.19858169555664,0.09131941944360733,0.21016886830329895,0.2093423753976822,11.146208763122559,0.004387196619063616,0.0,0.0,0.0,0.0
10,True,1.218690455295535,0.7458039927367519,0.19208903070044728,0.5537149656926637,9.457729114799468,0.007020364208944885,0.05013846583838244,3.14911590165317,0.010245104434889496,0.05901189974403535,3.148210334375033,0.2958792448043823,0.27282482385635376,16.77989387512207,0.08000998198986053,0.2185090035200119,0.2180405557155609,13.780716896057129,0.002304876921698451,0.0001951056516295185,0.9960978799383414,79552.0,1.8828742112110888,0.6849989940856667,0.18112716283599,0.5038718406884175,23.95750391258384,0.006293975874892062,0.28598540683962265,5.058718960334927,0.00907140613264954,0.25777910340507076,4.920316057973648,0.30028286576271057,0.26954153180122375,13.802754402160645,0.10450183600187302,0.2052101492881775,0.2043200582265854,11.609189987182617,0.004697789438068867,0.0,0.0,0.0,0.0
