comparison,metric,canonical_person_id,improvement
registered,assignment_failure_rate,BioMotionLab_NTroje::rub115,-0.101257954584
registered,assignment_failure_rate,KIT::348,-0.046924797667
registered,assignment_failure_rate,KIT::6,-0.0506449999914
registered,response_error,BioMotionLab_NTroje::rub002,0.0413706352313
registered,response_error,BioMotionLab_NTroje::rub023,4.55295880758
registered,response_error,BioMotionLab_NTroje::rub044,1.55121167989
registered,response_error,BioMotionLab_NTroje::rub053,2.60505117258
registered,response_error,BioMotionLab_NTroje::rub054,-0.730834846601
registered,response_error,BioMotionLab_NTroje::rub070,-0.323893920256
registered,response_error,BioMotionLab_NTroje::rub072,1.0876210165
registered,response_error,BioMotionLab_NTroje::rub075,-0.687203227637
registered,response_error,BioMotionLab_NTroje::rub086,2.06831977002
registered,response_error,BioMotionLab_NTroje::rub098,0.0720985250412
registered,response_error,BioMotionLab_NTroje::rub106,-0.815353680997
registered,response_error,BioMotionLab_NTroje::rub115,-0.866300173466
registered,response_error,KIT::348,0.545748357304
registered,response_error,KIT::6,0.532377230548
registered,nuisance_error,BioMotionLab_NTroje::rub002,3.15426289647
registered,nuisance_error,BioMotionLab_NTroje::rub023,7.05890399233
registered,nuisance_error,BioMotionLab_NTroje::rub044,5.81332512905
registered,nuisance_error,BioMotionLab_NTroje::rub053,4.63498173969
registered,nuisance_error,BioMotionLab_NTroje::rub054,2.27381061732
registered,nuisance_error,BioMotionLab_NTroje::rub070,2.82093188058
registered,nuisance_error,BioMotionLab_NTroje::rub072,3.74451658712
registered,nuisance_error,BioMotionLab_NTroje::rub075,2.05392904367
registered,nuisance_error,BioMotionLab_NTroje::rub086,5.10591381919
registered,nuisance_error,BioMotionLab_NTroje::rub098,3.35327708047
registered,nuisance_error,BioMotionLab_NTroje::rub106,3.6681769596
registered,nuisance_error,BioMotionLab_NTroje::rub115,3.36565598473
registered,nuisance_error,KIT::348,2.9058166849
registered,nuisance_error,KIT::6,4.17304989834
registered,interaction_error,BioMotionLab_NTroje::rub002,2.36976937147
registered,interaction_error,BioMotionLab_NTroje::rub023,13.0547838229
registered,interaction_error,BioMotionLab_NTroje::rub044,5.78899565283
registered,interaction_error,BioMotionLab_NTroje::rub053,7.52325146029
registered,interaction_error,BioMotionLab_NTroje::rub054,0.174142115418
registered,interaction_error,BioMotionLab_NTroje::rub070,0.859478822113
registered,interaction_error,BioMotionLab_NTroje::rub072,3.9586969384
registered,interaction_error,BioMotionLab_NTroje::rub075,-0.056535323676
registered,interaction_error,BioMotionLab_NTroje::rub086,6.83758823864
registered,interaction_error,BioMotionLab_NTroje::rub098,1.99074727577
registered,interaction_error,BioMotionLab_NTroje::rub106,0.0966006078996
registered,interaction_error,BioMotionLab_NTroje::rub115,-0.230045555892
registered,interaction_error,KIT::348,4.38754956489
registered,interaction_error,KIT::6,2.99921183773
direct_vs_input,A_error,BioMotionLab_NTroje::rub002,1.34528222151
direct_vs_input,A_error,BioMotionLab_NTroje::rub023,3.74831623601
direct_vs_input,A_error,BioMotionLab_NTroje::rub044,3.37595996727
direct_vs_input,A_error,BioMotionLab_NTroje::rub053,2.4277409095
direct_vs_input,A_error,BioMotionLab_NTroje::rub054,1.91042264326
direct_vs_input,A_error,BioMotionLab_NTroje::rub070,4.91105473261
direct_vs_input,A_error,BioMotionLab_NTroje::rub072,0.0221238576295
direct_vs_input,A_error,BioMotionLab_NTroje::rub075,12.2356791958
direct_vs_input,A_error,BioMotionLab_NTroje::rub086,3.15356301066
direct_vs_input,A_error,BioMotionLab_NTroje::rub098,3.95964003138
direct_vs_input,A_error,BioMotionLab_NTroje::rub106,5.91065968414
direct_vs_input,A_error,BioMotionLab_NTroje::rub115,1.63590808856
direct_vs_input,A_error,KIT::348,1.28493815891
direct_vs_input,A_error,KIT::6,7.87963600274
direct_vs_input,waveform_error,BioMotionLab_NTroje::rub002,5.04006982337
direct_vs_input,waveform_error,BioMotionLab_NTroje::rub023,8.398572496
direct_vs_input,waveform_error,BioMotionLab_NTroje::rub044,6.02871105552
direct_vs_input,waveform_error,BioMotionLab_NTroje::rub053,6.35919456615
direct_vs_input,waveform_error,BioMotionLab_NTroje::rub054,7.05448647164
direct_vs_input,waveform_error,BioMotionLab_NTroje::rub070,6.19483733332
direct_vs_input,waveform_error,BioMotionLab_NTroje::rub072,5.1807362496
